TAG	RAZSOC	ENDERECO	COMPL	LOCALIDADE	UF	Full Address	Latitude	Longitude	CEP	U_DESCNAE
00000000000191	BANCO DO BRASIL SA	SAUN QUADRA 5 LOTE B TORRES I, II E III	SN	BRASILIA	DF	SAUN QUADRA 5 LOTE B TORRES I, II E III SN BRASILIA DF 	-157904994	-47875464	70040912	ATIVIDADES DE SERVIÇOS FINANCEIROS
00000017000149	ASSOCIACAO VIVER EM CRISTO	DIAMANTINO MATHEUS	428	SAO PAULO	SP	DIAMANTINO MATHEUS 428 SAO PAULO SP 	-234644173	-466727408	02880030	ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
00000028000129	TARGET ENGENHARIA E CONSULTORIA LTDA.	DAS NACOES UNIDAS	18801	SAO PAULO	SP	DAS NACOES UNIDAS 18801 SAO PAULO SP 	-236532106	-467204477	04795000	ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
00000032000197	CONDOMINIO EDIFICIO CANOVA	SALES JUNIOR	423	SAO PAULO	SP	SALES JUNIOR 423 SAO PAULO SP 	-235318331	-467173216	05083070	SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
00000042000122	AUTO POSTO CASCAO LTDA	SMDB CONJUNTO 12 BLOCO E	214	BRASILIA	DF	SMDB CONJUNTO 12 BLOCO E 214 BRASILIA DF 	-158618351	-478346572	71680115	COMÉRCIO VAREJISTA
00000048000108	ASSOCIACAO VIRTUDE PLENA	TUCUNDUVA	154	SAO PAULO	SP	TUCUNDUVA 154 SAO PAULO SP 	-234956529	-46694634	02733100	ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
00000058000135	TALENTO SERVICOS E MAO DE OBRA LTDA	BARAO DE ITAPETININGA	88	SAO PAULO	SP	BARAO DE ITAPETININGA 88 SAO PAULO SP 	-235450223	-46639894	01042000	SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA
00000066000181	ASSOCIACAO BENEFICENTE LUZ DE UM NOVO DIA	ANTONIO DE RODOVALHO	12	SAO PAULO	SP	ANTONIO DE RODOVALHO 12 SAO PAULO SP 	-235093164	-464042393	08151680	ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
00000075000172	CENTRO ESPIRITA EURIPEDES BARSANULFO	GETULIO P. DE ALMEIDA	321	SANTA HELENA DE GOIAS	GO	GETULIO P. DE ALMEIDA 321 SANTA HELENA DE GOIAS GO 	-178175686	-505920735	75920000	ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
00000083000119	MAINLINE MOVEIS SOCIEDADE ANONIMA INDUSTRIA E COMERCIO	SETOR DE OFICINAS SUL QUADRA 06 CONJUNTO B	SN	BRASILIA	DF	SETOR DE OFICINAS SUL QUADRA 06 CONJUNTO B SN BRASILIA DF 	-158190192	-479574894	71215232	COMÉRCIO VAREJISTA
00000104000104	INSTITUTO GRANDE VITORIA	BARUARE	76	SAO PAULO	SP	BARUARE 76 SAO PAULO SP 	-234097564	-467382345	05223090	SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO
00000108000184	NEUMAN´S CONSULTORIA EM COMERCIO EXTERIOR LTDA	SAO JUSTINIANO	55	SAO PAULO	SP	SAO JUSTINIANO 55 SAO PAULO SP 	-235346991	-467247894	05303110	ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL
00000110000153	LEONARDO + MODICA LTDA	13 DE MAIO	520	SAO PAULO	SP	13 DE MAIO 520 SAO PAULO SP 	-235576697	-466466241	04751000	EDUCAÇÃO
00000130000124	CLUBE DAS MAES CARENTES DA SHEAB I	DULCE GARCIA AQUILINO	09	SAO PAULO	SP	DULCE GARCIA AQUILINO 09 SAO PAULO SP 	-234695063	-466901884	02845030	EDUCAÇÃO
00000133000168	SIND DOS TRAB R. EMPR.ASSALARIADOS E ASSALARIADAS R.DE STA HELENA DEGOIAS-GO TURVELANDIA-GO MAURILAN	DEPUTADO WILMAR GUIMARAES	920	SANTA HELENA DE GOIAS	GO	DEPUTADO WILMAR GUIMARAES 920 SANTA HELENA DE GOIAS GO 	-178190978	-505974984	75920000	ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
00000138000190	INSTITUTO ESTER GOMES	DE TAIPAS	1006	SAO PAULO	SP	DE TAIPAS 1006 SAO PAULO SP 	-234324499	-46727132	02991000	SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO
00000144000148	ASSCOMAT - ASSOCIACAO COMUNITARIA ATITUDE	JULIO MARIO SALUSSE	19	SAO PAULO	SP	JULIO MARIO SALUSSE 19 SAO PAULO SP 	-234690203	-466819432	02866230	ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
00000151000140	ASSOCIACAO BENEFICENTE UNIDOS DO JARDIM GUARANI	TRAJANO DE CARVALHO	196	SAO PAULO	SP	TRAJANO DE CARVALHO 196 SAO PAULO SP 	-234596455	-466913416	02851090	ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
00000155000128	COUPLING SERVICO DE MANUTENCAO LTDA	PEDRO PEREIRA DOS SANTOS	620	HORTOLANDIA	SP	PEDRO PEREIRA DOS SANTOS 620 HORTOLANDIA SP 	-228841775	-472017178	13186219	MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
00000166000108	IRMAOS RODOPOULOS LTDA	SHIS QI 13 BLOCO J	S/N	BRASILIA	DF	SHIS QI 13 BLOCO J S/N BRASILIA DF 	-158460918	-478947291	71635178	CONSTRUÇÃO DE EDIFÍCIOS
00000168000105	SIGMA - CONSULTORIA E ASSESSORIA DE SEGURANCA S/C LTDA	INDIANOPOLIS	2641	SAO PAULO	SP	INDIANOPOLIS 2641 SAO PAULO SP 	-236209681	-466470245	04063005	ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
